OrderNum,OrderDate,OrderType,Customer ID,ProdNumber,Quantity
1105297,1/10/2020,Retail,2880,SP602,1
1105298,1/10/2020,Retail,3417,SP305,2
1105299,1/10/2020,Retail,2652,SP602,2
1105300,1/10/2020,Retail,1438,FT682,2
1105301,1/11/2020,Retail,4093,FT727,1
1105302,1/11/2020,Retail,1315,MW202,3
1105303,1/11/2020,Retail,3384,SP609,2
1105304,1/11/2020,Retail,3384,SP202,1
1105305,1/11/2020,Retail,2915,FT870,2
1105306,1/12/2020,Retail,1794,MW262,1
1105307,1/12/2020,Retail,1315,MW132,2
1105308,1/12/2020,Retail,1861,SP609,1
1105309,1/12/2020,Retail,2583,SP609,1
1105310,1/13/2020,Retail,1815,SP126,355
1105311,1/13/2020,Wholesale,1446,MW132,274
1105312,1/13/2020,Retail,3248,SP126,2
1105313,1/13/2020,Retail,1537,SP607,2
1105314,1/13/2020,Retail,2033,FT181,1
1105315,1/13/2020,Retail,2218,FT139,1
1105316,1/13/2020,Retail,2633,MW102,3
1105317,1/13/2020,Retail,1151,SP126,1
1105318,1/13/2020,Retail,1601,SP603,2
1105319,1/13/2020,Retail,3559,MW272,5
1105320,1/14/2020,Wholesale,2318,SP203,99
1105321,1/14/2020,Wholesale,2407,SP121,163
1105322,1/14/2020,Retail,2542,FT981,1
1105323,1/14/2020,Retail,3674,MW182,1
1105324,1/14/2020,Retail,2591,MW122,1
1105325,1/14/2020,Retail,1594,FT422,1
1105326,1/15/2020,Wholesale,3905,FT350,130
1105327,1/15/2020,Wholesale,1244,MW122,448
1105328,1/15/2020,Wholesale,3672,SP304,185
1105329,1/15/2020,Retail,3683,MW202,3
1105330,1/15/2020,Retail,3683,MW122,3
1105331,1/15/2020,Retail,2656,MW222,4
1105332,1/15/2020,Retail,2553,SP604,1
1105333,1/15/2020,Retail,1196,SP123,2
1105334,1/15/2020,Retail,1829,SP203,2
1105335,1/15/2020,Retail,3428,MW252,4
1105336,1/16/2020,Retail,3056,SP609,2
1105337,1/17/2020,Retail,3347,SP303,2
1105338,1/17/2020,Retail,1845,SP305,1
1105339,1/17/2020,Retail,2720,SP609,1
1105340,1/18/2020,Wholesale,2168,MW272,45
1105341,1/18/2020,Retail,1423,FT434,1
1105342,1/18/2020,Retail,3020,FT870,2
1105343,1/18/2020,Retail,3895,FT280,2
1105344,1/18/2020,Wholesale,1665,MW102,152
1105345,1/19/2020,Wholesale,3220,SP305,58
1105346,1/19/2020,Retail,1643,FT525,1
1105347,1/19/2020,Retail,1222,MW162,1
1105348,1/19/2020,Retail,3002,MW172,5
1105349,1/19/2020,Retail,3083,SP303,3
1105350,1/19/2020,Retail,4112,SP603,1
1105351,1/19/2020,Retail,1557,FT825,1
1105352,1/19/2020,Retail,1645,MW172,2
1105353,1/19/2020,Retail,3274,SP203,1
1105354,1/19/2020,Retail,2376,SP126,2
1105355,1/19/2020,Retail,1476,FT174,1
1105356,1/19/2020,Retail,2191,MW232,1
1105357,1/20/2020,Retail,4003,MW102,2
1105358,1/20/2020,Retail,2143,MW202,2
1105359,1/20/2020,Retail,3369,MW242,2
1105360,1/20/2020,Retail,1876,MW262,2
1105361,1/20/2020,Retail,2702,SP604,1
1105362,1/20/2020,Retail,4056,SP306,1
1105363,1/20/2020,Retail,3643,SP601,1
1105364,1/20/2020,Retail,1889,SP125,1
1105365,1/20/2020,Retail,2609,SP120,1
1105366,1/21/2020,Wholesale,1914,MW252,96
1105367,1/21/2020,Retail,4055,SP120,2
1105368,1/21/2020,Retail,2880,SP609,2
1105369,1/21/2020,Retail,3724,SP305,2
1105370,1/21/2020,Retail,4061,SP602,2
1105371,1/21/2020,Retail,4120,SP603,2
1105372,1/21/2020,Retail,1201,FT172,1
1105373,1/21/2020,Retail,1943,FT139,1
1105374,1/21/2020,Wholesale,2000,FT350,72
1105375,1/22/2020,Retail,1301,FT300,2
1105376,1/22/2020,Retail,2934,FT727,2
1105377,1/22/2020,Retail,1686,FT544,2
1105378,1/22/2020,Retail,1200,MW172,4
1105379,1/22/2020,Retail,3382,MW272,3
1105380,1/23/2020,Retail,2374,MW232,160
1105381,1/23/2020,Retail,2365,SP202,2
1105382,1/23/2020,Retail,3923,SP120,2
1105383,1/23/2020,Retail,2592,SP603,1
1105384,1/23/2020,Retail,3054,SP609,1
1105385,1/23/2020,Retail,3622,FT577,2
1105386,1/23/2020,Retail,4080,FT358,1
1105387,1/23/2020,Retail,1561,MW102,4
1105388,1/24/2020,Wholesale,1503,MW112,93
1105389,1/24/2020,Retail,3009,SP126,1
1105390,1/24/2020,Retail,2540,SP603,1
1105391,1/24/2020,Retail,3720,FT870,1
1105392,1/24/2020,Retail,1972,MW112,4
1105393,1/25/2020,Retail,1327,SP120,2
1105394,1/25/2020,Retail,3252,SP203,1
1105395,1/25/2020,Retail,2687,FT577,1
1105396,1/25/2020,Retail,3022,MW112,2
1105397,1/25/2020,Retail,3934,MW112,4
1105398,1/25/2020,Retail,3540,SP120,1
1105399,1/26/2020,Wholesale,2389,MW162,100
1105400,1/26/2020,Retail,2539,SP305,2
1105401,1/26/2020,Retail,1935,SP204,2
1105402,1/26/2020,Retail,1188,SP202,1
1105403,1/26/2020,Retail,1228,FT174,1
1105404,1/26/2020,Wholesale,3327,MW222,94
1105405,1/27/2020,Retail,1545,FT577,2
1105406,1/27/2020,Retail,3246,MW102,2
1105407,1/27/2020,Retail,3656,MW122,2
1105408,1/27/2020,Retail,3861,SP601,1
1105409,1/27/2020,Retail,1838,SP304,1
1105410,1/27/2020,Retail,2674,SP123,2
1105411,1/28/2020,Retail,2248,SP204,2
1105412,1/28/2020,Retail,3564,FT139,1
1105413,1/28/2020,Retail,2628,FT981,1
1105414,1/28/2020,Retail,3405,MW162,4
1105415,1/28/2020,Retail,3690,SP609,1
1105416,1/28/2020,Retail,2145,SP601,1
1105417,1/28/2020,Retail,4033,FT358,1
1105418,1/28/2020,Retail,1186,MW102,2
1105419,1/29/2020,Wholesale,1656,MW122,52
1105420,1/29/2020,Retail,1526,SP607,1
1105421,1/29/2020,Retail,4050,SP202,2
1105422,1/29/2020,Retail,1211,FT139,1
1105423,1/29/2020,Retail,3030,MW152,4
1105424,1/29/2020,Retail,3386,SP602,2
1105425,1/29/2020,Retail,2218,SP603,1
1105426,1/29/2020,Retail,2021,MW202,2
1105427,1/30/2020,Wholesale,3713,MW152,64
1105428,1/30/2020,Retail,1493,FT577,1
1105429,1/30/2020,Retail,1332,MW102,1
1105430,1/30/2020,Retail,4036,MW202,2
1105431,1/31/2020,Retail,3573,MW242,85
1105432,2/1/2020,Wholesale,1800,SP201,61
1105433,2/1/2020,Retail,1222,SP602,2
1105434,2/1/2020,Retail,1217,SP201,2
1105435,2/1/2020,Retail,3884,SP202,2
1105436,2/1/2020,Retail,2183,SP123,1
1105437,2/1/2020,Retail,2979,SP601,1
1105438,2/1/2020,Retail,1559,FT300,1
1105439,2/2/2020,Retail,1167,FT300,1
1105440,2/2/2020,Retail,2883,FT870,1
1105441,2/2/2020,Retail,1872,FT609,1
1105442,2/2/2020,Retail,2886,MW102,3
1105443,2/2/2020,Retail,1218,MW222,3
1105444,2/2/2020,Retail,4102,SP305,1
1105445,2/2/2020,Retail,2063,SP303,2
1105446,2/2/2020,Retail,3174,SP303,2
1105447,2/2/2020,Retail,1451,SP303,1
1105448,2/2/2020,Retail,2555,FT598,1
1105449,2/2/2020,Retail,1602,FT139,1
1105450,2/3/2020,Retail,3538,MW112,2
1105451,2/3/2020,Retail,2199,SP306,1
1105452,2/3/2020,Retail,4053,SP202,2
1105453,2/3/2020,Retail,1493,FT174,1
1105454,2/3/2020,Retail,3426,MW112,1
1105455,2/3/2020,Retail,2577,MW162,2
1105456,2/3/2020,Retail,3181,MW162,5
1105457,2/3/2020,Retail,1209,SP203,1
1105458,2/4/2020,Retail,3866,SP204,2
1105459,2/4/2020,Retail,2189,SP203,2
1105460,2/4/2020,Retail,3766,SP125,1
1105461,2/4/2020,Retail,1877,FT344,2
1105462,2/4/2020,Retail,3341,FT337,2
1105463,2/5/2020,Retail,3011,MW112,2
1105464,2/5/2020,Retail,3197,SP305,2
1105465,2/5/2020,Retail,3333,FT174,2
1105466,2/5/2020,Retail,3616,MW122,1
1105467,2/5/2020,Retail,3928,MW102,2
1105468,2/5/2020,Retail,1887,SP609,1
1105469,2/6/2020,Wholesale,1832,MW172,287
1105470,2/6/2020,Retail,1116,SP607,1
1105471,2/6/2020,Retail,1189,SP305,1
1105472,2/6/2020,Retail,2683,SP607,2
1105473,2/6/2020,Retail,1902,SP309,2
1105474,2/6/2020,Retail,2387,SP204,2
1105475,2/6/2020,Retail,4049,FT434,1
1105476,2/6/2020,Retail,2025,FT139,1
1105477,2/6/2020,Retail,3585,FT350,3
1105478,2/7/2020,Wholesale,2265,MW272,252
1105479,2/7/2020,Wholesale,2543,MW222,382
1105480,2/7/2020,Retail,3207,MW162,4
1105481,2/7/2020,Retail,3639,SP303,2
1105482,2/8/2020,Retail,4028,MW232,157
1105483,2/8/2020,Retail,3042,SP305,1
1105484,2/8/2020,Retail,1666,FT358,1
1105485,2/8/2020,Retail,1908,SP303,1
1105486,2/9/2020,Retail,2184,SP204,2
1105487,2/9/2020,Retail,2592,FT174,2
1105488,2/9/2020,Retail,1168,MW152,1
1105489,2/9/2020,Retail,2026,MW162,3
1105490,2/9/2020,Retail,2626,MW252,4
1105491,2/10/2020,Wholesale,2031,MW202,475
1105492,2/10/2020,Retail,2311,SP126,1
1105493,2/10/2020,Retail,2938,SP126,2
1105494,2/10/2020,Retail,4026,SP305,2
1105495,2/10/2020,Retail,3511,SP303,1
1105496,2/10/2020,Retail,3988,FT544,2
1105497,2/10/2020,Retail,1796,FT962,1
1105498,2/10/2020,Retail,3907,MW252,2
1105499,2/11/2020,Wholesale,3520,MW232,109
1105500,2/11/2020,Wholesale,1665,MW242,65
1105501,2/11/2020,Retail,3576,SP305,1
1105502,2/11/2020,Retail,2761,SP603,2
1105503,2/12/2020,Wholesale,2698,MW272,149
1105504,2/12/2020,Retail,2179,FT727,1
1105505,2/12/2020,Retail,3377,MW282,1
1105506,2/12/2020,Retail,3682,SP607,1
1105507,2/13/2020,Wholesale,2518,SP201,102
1105508,2/13/2020,Retail,3283,SP201,2
1105509,2/13/2020,Retail,1535,FT434,1
1105510,2/13/2020,Retail,1628,MW132,3
1105511,2/13/2020,Retail,3005,SP125,2
1105512,2/13/2020,Retail,2512,SP609,1
1105513,2/13/2020,Retail,1988,FT439,1
1105514,2/14/2020,Retail,2621,MW102,172
1105515,2/14/2020,Retail,1671,MW102,1
1105516,2/14/2020,Retail,2580,MW272,1
1105517,2/14/2020,Retail,1705,MW122,3
1105518,2/14/2020,Retail,1505,MW202,4
1105519,2/14/2020,Retail,1915,SP603,1
1105520,2/14/2020,Retail,1577,SP601,1
1105521,2/14/2020,Retail,1296,SP123,1
1105522,2/14/2020,Retail,2712,SP303,2
1105523,2/14/2020,Retail,2617,SP601,2
1105524,2/15/2020,Retail,2665,SP203,1
1105525,2/15/2020,Retail,3564,SP604,1
1105526,2/15/2020,Retail,1539,FT172,1
1105527,2/15/2020,Retail,2188,MW122,1
1105528,2/15/2020,Retail,3568,MW162,1
1105529,2/15/2020,Retail,1559,MW122,3
1105530,2/15/2020,Retail,2022,MW182,3
1105531,2/15/2020,Wholesale,3177,MW152,92
1105532,2/16/2020,Wholesale,3218,SP602,108
1105533,2/16/2020,Wholesale,1244,MW102,81
1105534,2/16/2020,Retail,1334,MW262,4
1105535,2/16/2020,Retail,1119,SP603,4
1105536,2/16/2020,Retail,3176,SP120,3
1105537,2/17/2020,Wholesale,3741,MW272,80
1105538,2/17/2020,Wholesale,2989,MW222,59
1105539,2/17/2020,Retail,2355,SP303,2
1105540,2/17/2020,Retail,2660,SP202,1
1105541,2/18/2020,Retail,1456,SP202,1
1105542,2/18/2020,Retail,1522,SP604,1
1105543,2/19/2020,Wholesale,4083,MW272,169
1105544,2/19/2020,Wholesale,3986,FT589,93
1105545,2/19/2020,Wholesale,1501,FT344,130
1105546,2/19/2020,Retail,2391,FT530,1
1105547,2/19/2020,Retail,2208,FT825,1
1105548,2/19/2020,Retail,1718,FT962,1
1105549,2/20/2020,Retail,1462,SP303,348
1105550,2/20/2020,Retail,1638,MW182,2
1105551,2/20/2020,Retail,1331,MW272,2
1105552,2/21/2020,Retail,3951,MW262,3
1105553,2/22/2020,Wholesale,2651,SP203,76
1105554,2/22/2020,Wholesale,1137,FT344,78
1105555,2/22/2020,Wholesale,3332,MW242,58
1105556,2/22/2020,Retail,3546,SP120,1
1105557,2/22/2020,Retail,1465,SP304,2
1105558,2/22/2020,Retail,3352,SP303,2
1105559,2/22/2020,Retail,3760,SP123,2
1105560,2/22/2020,Retail,1540,FT895,1
1105561,2/22/2020,Retail,3240,FT357,1
1105562,2/23/2020,Retail,2941,MW122,153
1105563,2/23/2020,Wholesale,2265,SP204,273
1105564,2/23/2020,Retail,2618,FT609,1
1105565,2/23/2020,Retail,3979,MW202,1
1105566,2/23/2020,Retail,3316,MW272,1
1105567,2/23/2020,Retail,2362,MW122,5
1105568,2/24/2020,Wholesale,2948,MW172,73
1105569,2/24/2020,Retail,1717,SP306,3
1105570,2/24/2020,Retail,1195,SP607,2
1105571,2/24/2020,Retail,3247,FT422,1
1105572,2/24/2020,Retail,3306,FT853,1
1105573,2/24/2020,Retail,2508,MW222,1
1105574,2/24/2020,Retail,1600,MW112,4
1105575,2/24/2020,Retail,1679,MW152,4
1105576,2/25/2020,Wholesale,1650,FT530,62
1105577,2/25/2020,Retail,1538,SP125,1
1105578,2/25/2020,Retail,3608,SP204,2
1105579,2/25/2020,Retail,1207,SP601,2
1105580,2/25/2020,Retail,1697,SP602,1
1105581,2/25/2020,Retail,1827,SP204,1
1105582,2/26/2020,Retail,1515,MW232,246
1105583,2/26/2020,Retail,2639,FT434,2
1105584,2/26/2020,Retail,1160,FT577,1
1105585,2/26/2020,Retail,1986,FT589,1
1105586,2/26/2020,Retail,2663,MW122,1
1105587,2/26/2020,Retail,3070,MW132,2
1105588,2/26/2020,Retail,2727,SP126,1
1105589,2/27/2020,Wholesale,2146,MW102,72
1105590,2/27/2020,Retail,3376,SP306,1
1105591,2/27/2020,Retail,3690,SP304,2
1105592,2/27/2020,Retail,4046,SP202,2
1105593,2/27/2020,Retail,1587,FT976,1
1105594,2/28/2020,Wholesale,3373,MW132,76
1105595,2/28/2020,Wholesale,2965,SP121,58
1105596,2/28/2020,Wholesale,3183,MW222,198
1105597,2/28/2020,Retail,3935,FT895,1
1105598,2/28/2020,Retail,3937,MW122,2
1105599,2/28/2020,Retail,1187,MW252,4
1105600,2/28/2020,Retail,2197,SP120,1
1105601,2/29/2020,Retail,3050,SP602,3
1105602,2/29/2020,Retail,3751,SP204,2
1105603,2/29/2020,Retail,4086,SP120,1
1105604,2/29/2020,Retail,4046,FT981,1
1105605,2/29/2020,Retail,2276,FT962,1
1105606,2/29/2020,Retail,2537,MW102,1
1105607,2/29/2020,Retail,1857,MW102,5
1105608,2/29/2020,Retail,2846,SP202,2
1105609,3/1/2020,Retail,3561,SP201,1
1105610,3/1/2020,Retail,1713,SP305,2
1105611,3/2/2020,Wholesale,2200,MW232,152
1105612,3/3/2020,Wholesale,3036,MW132,182
1105613,3/3/2020,Wholesale,3235,SP306,263
1105614,3/3/2020,Wholesale,2232,FT530,69
1105615,3/3/2020,Retail,2999,MW132,1
1105616,3/4/2020,Wholesale,3227,FT434,144
1105617,3/4/2020,Retail,3638,SP120,2
1105618,3/5/2020,Retail,1238,MW122,93
1105619,3/5/2020,Retail,3375,FT280,2
1105620,3/5/2020,Retail,2631,MW282,2
1105621,3/6/2020,Retail,1264,SP204,1
1105622,3/6/2020,Retail,2865,SP123,1
1105623,3/6/2020,Retail,2135,SP303,2
1105624,3/7/2020,Retail,1591,FT357,2
1105625,3/8/2020,Retail,2377,MW132,1
1105626,3/8/2020,Retail,3009,MW122,1
1105627,3/8/2020,Retail,2752,MW102,6
1105628,3/8/2020,Retail,3263,SP607,2
1105629,3/8/2020,Retail,2564,SP305,2
1105630,3/9/2020,Retail,3178,FT577,97
1105631,3/9/2020,Wholesale,1440,SP120,261
1105632,3/9/2020,Retail,1984,SP303,1
1105633,3/9/2020,Retail,2386,SP303,1
1105634,3/9/2020,Retail,2156,FT337,1
1105635,3/9/2020,Retail,2931,FT525,1
1105636,3/9/2020,Retail,2602,MW112,4
1105637,3/9/2020,Retail,1229,SP202,2
1105638,3/9/2020,Retail,4039,MW132,2
1105639,3/9/2020,Retail,2182,SP204,1
1105640,3/9/2020,Retail,1502,SP306,1
1105641,3/10/2020,Retail,3237,SP202,2
1105642,3/10/2020,Retail,4004,SP607,2
1105643,3/11/2020,Wholesale,2963,FT870,82
1105644,3/11/2020,Retail,2528,FT344,1
1105645,3/11/2020,Retail,2901,MW202,3
1105646,3/11/2020,Retail,2697,SP201,1
1105647,3/11/2020,Retail,3861,FT870,1
1105648,3/11/2020,Retail,2220,MW122,1
1105649,3/11/2020,Retail,2983,MW162,3
1105650,3/12/2020,Wholesale,2662,MW172,194
1105651,3/12/2020,Retail,4029,SP609,2
1105652,3/12/2020,Retail,1516,SP203,2
1105653,3/13/2020,Retail,3641,MW162,193
1105654,3/13/2020,Retail,3896,SP609,1
1105655,3/13/2020,Retail,3342,FT598,1
1105656,3/13/2020,Retail,1877,MW202,1
1105657,3/13/2020,Retail,2397,SP304,3
1105658,3/14/2020,Wholesale,1435,MW152,110
1105659,3/14/2020,Retail,3967,FT853,1
1105660,3/14/2020,Retail,1822,MW122,3
1105661,3/14/2020,Retail,3070,MW102,5
1105662,3/14/2020,Retail,3280,SP204,1
1105663,3/15/2020,Retail,2833,MW282,76
1105664,3/15/2020,Retail,3920,SP123,1
1105665,3/15/2020,Retail,3870,FT609,1
1105666,3/15/2020,Retail,3270,SP603,1
1105667,3/16/2020,Wholesale,2608,SP601,77
1105668,3/16/2020,Wholesale,3389,FT337,52
1105669,3/17/2020,Wholesale,3276,MW122,100
1105670,3/17/2020,Retail,1495,FT962,1
1105671,3/17/2020,Retail,3082,MW142,2
1105672,3/17/2020,Retail,3025,MW162,2
1105673,3/17/2020,Retail,2558,SP609,1
1105674,3/17/2020,Retail,2674,SP203,1
1105675,3/18/2020,Retail,3265,FT644,1
1105676,3/18/2020,Retail,4103,FT344,1
1105677,3/19/2020,Wholesale,2240,SP120,197
1105678,3/19/2020,Wholesale,1163,MW112,87
1105679,3/19/2020,Retail,1717,MW112,1
1105680,3/19/2020,Retail,1483,MW162,5
1105681,3/19/2020,Retail,2314,SP125,1
1105682,3/19/2020,Retail,1560,SP303,2
1105683,3/20/2020,Wholesale,1886,MW142,111
1105684,3/20/2020,Retail,2034,SP602,1
1105685,3/20/2020,Retail,2301,FT358,1
1105686,3/20/2020,Retail,3900,MW132,3
1105687,3/20/2020,Retail,1314,MW242,4
1105688,3/21/2020,Retail,1333,SP602,4
1105689,3/21/2020,Retail,3855,SP602,130
1105690,3/21/2020,Retail,3516,SP120,1
1105691,3/21/2020,Retail,2005,SP203,1
1105692,3/21/2020,Retail,1328,FT962,2
1105693,3/21/2020,Retail,3744,MW122,4
1105694,3/21/2020,Retail,1551,SP126,1
1105695,3/21/2020,Retail,3307,SP303,1
1105696,3/21/2020,Retail,3632,FT589,3
1105697,3/21/2020,Retail,2535,MW102,2
1105698,3/21/2020,Retail,2211,SP603,2
1105699,3/21/2020,Retail,1125,FT139,1
1105700,3/22/2020,Retail,1489,MW222,3
1105701,3/22/2020,Retail,2645,SP126,2
1105702,3/22/2020,Retail,2149,SP121,1
1105703,3/22/2020,Retail,2201,FT358,1
1105704,3/22/2020,Retail,1691,MW142,2
1105705,3/22/2020,Retail,2928,SP125,1
1105706,3/23/2020,Retail,2227,MW202,1
1105707,3/23/2020,Retail,3358,MW112,7
1105708,3/23/2020,Retail,1516,SP120,3
1105709,3/24/2020,Retail,3390,FT422,1
1105710,3/24/2020,Retail,3329,MW272,1
1105711,3/24/2020,Retail,1639,MW202,3
1105712,3/24/2020,Retail,1841,MW232,3
1105713,3/24/2020,Retail,1651,SP305,1
1105714,3/24/2020,Retail,1552,SP609,1
1105715,3/24/2020,Retail,3068,SP303,2
1105716,3/25/2020,Wholesale,4083,SP203,158
1105717,3/25/2020,Wholesale,3177,MW232,97
1105718,3/25/2020,Retail,1872,SP204,1
1105719,3/25/2020,Retail,2288,SP309,1
1105720,3/25/2020,Retail,1532,SP126,2
1105721,3/25/2020,Retail,3712,SP204,1
1105722,3/25/2020,Retail,2623,SP601,1
1105723,3/25/2020,Retail,1816,SP204,1
1105724,3/25/2020,Retail,3695,FT434,2
1105725,3/26/2020,Wholesale,3177,SP120,199
1105726,3/26/2020,Retail,1970,FT682,2
1105727,3/26/2020,Retail,1258,FT258,1
1105728,3/26/2020,Retail,2507,FT485,1
1105729,3/26/2020,Retail,2414,MW162,4
1105730,3/27/2020,Wholesale,1514,MW242,126
1105731,3/27/2020,Retail,1803,SP125,2
1105732,3/27/2020,Retail,1322,MW202,1
1105733,3/27/2020,Retail,2907,MW142,2
1105734,3/27/2020,Retail,3032,MW272,5
1105735,3/28/2020,Retail,2941,SP123,247
1105736,3/28/2020,Retail,3665,SP120,1
1105737,3/28/2020,Retail,2565,SP126,2
1105738,3/28/2020,Retail,1614,SP306,2
1105739,3/28/2020,Retail,2281,FT422,1
1105740,3/29/2020,Retail,2369,FT853,1
1105741,3/29/2020,Retail,3943,MW112,1
1105742,3/29/2020,Retail,2185,MW182,3
1105743,3/29/2020,Retail,1837,MW152,5
1105744,3/29/2020,Retail,2614,SP607,1
1105745,3/30/2020,Wholesale,2251,SP609,172
1105746,3/30/2020,Wholesale,2971,FT350,42
1105747,3/30/2020,Retail,1539,SP304,1
1105748,3/30/2020,Retail,2322,SP601,2
1105749,3/30/2020,Retail,2192,SP303,2
1105750,3/30/2020,Retail,2983,SP607,1
1105751,3/30/2020,Retail,2749,SP303,1
1105752,3/31/2020,Wholesale,1491,SP303,88
1105753,3/31/2020,Wholesale,3863,MW152,385
1105754,3/31/2020,Retail,1610,FT344,3
1105755,3/31/2020,Retail,1291,FT530,1
1105756,3/31/2020,Retail,2202,FT825,2
1105757,4/1/2020,Retail,2833,FT337,27
1105758,4/1/2020,Wholesale,1482,SP303,292
1105759,4/1/2020,Retail,2177,MW182,1
1105760,4/1/2020,Retail,1631,MW222,4
1105761,4/1/2020,Retail,2368,SP304,2
1105762,4/1/2020,Retail,3041,SP609,1
1105763,4/2/2020,Wholesale,1446,FT598,72
1105764,4/2/2020,Retail,2020,FT525,1
1105765,4/2/2020,Retail,2294,MW132,3
1105766,4/2/2020,Retail,3691,MW202,3
1105767,4/2/2020,Retail,2743,SP304,2
1105768,4/2/2020,Retail,4054,SP125,5
